event_id,match,start_date,market_type,market_name,market_type_id,sport_market_id,market_id,market_sv,odd_id,selection,line,price,odd_status,is_main_bet
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585419,Plus de 36,36,1.4167,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585420,Moins de 36,36,2.7,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585421,Plus de 40,40,1.6897,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585422,Moins de 40,40,2.05,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585423,Plus de 44,44,2.15,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585424,Moins de 44,44,1.6451,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4426063260,Plus de 47,47,2.55,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4426063261,Moins de 47,47,1.4762,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608224,Plus de 37,37,1.5,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608225,Moins de 37,37,2.5,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608226,Plus de 38,38,1.5556,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608227,Moins de 38,38,2.3,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608228,Plus de 39,39,1.625,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608229,Moins de 39,39,2.2,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608230,Plus de 41,41,1.7693,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608231,Moins de 41,41,1.9091,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608232,Plus de 42,42,1.8334,0,True
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608233,Moins de 42,42,1.8334,0,True
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608234,Plus de 43,43,1.9524,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608235,Moins de 43,43,1.7408,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608236,Plus de 45,45,2.25,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425608237,Moins de 45,45,1.5715,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425546592,Moins de 45.5,45.5,1.5556,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425546594,Moins de 46.5,46.5,1.5264,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425546596,Moins de 47.5,47.5,1.4348,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4075692369,Plus de 39.5,39.5,1.6667,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4075692370,Moins de 39.5,39.5,2.1,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585622,Plus de 46,46,2.4,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425585623,Moins de 46,46,1.5264,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425545951,Plus de 35.5,35.5,1.4,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425546591,Plus de 45.5,45.5,2.3,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425545953,Plus de 36.5,36.5,1.4546,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425546593,Plus de 46.5,46.5,2.4,0,False
16551432,CLE Browns vs. CAR Panthers,2026-09-27T17:00:00Z,total,Total (prolongations incluses),225,70803,1597092067,39.5,4425545955,Plus de 37.5,37.5,1.5455,0,False
