match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
DEN Broncos	 vs. JAX Jaguars,Bhayshul Tuten,playertotals-rushyards,Over,48.5,Bhayshul Tuten (JAX) Plus de 48.5,1.8,"Tuten, Bhayshul",2.04,2.137757947573898,0.4677798069397339,-15.79963475084789,Total de yards à la course du joueur Plus/Moins (Incl. Prolongations),4502100862,id1400003171515794
KC Chiefs vs. IND Colts,Patrick Mahomes,playertotals-rushattempts,Under,3.5,Patrick Mahomes (KC) moins de 3.5,2.0,"Mahomes, Patrick",2.27,2.3765918738629472,0.4207706047461087,-15.845879050778255,Joueur tentative de gain par la course (prolongations incluses),4502058385,id1400003171515804
LA Rams vs. NY Giants,Kyren Williams,playertotals-receptions,Over,2.5,Kyren Williams (LAR) Plus de 2.5,1.9524,"Williams, Kyren",2.2,2.3237063778580027,0.4303469704816157,-15.979057483169356,Total de réceptions Plus/Moins(Incl. Prolongations),4497681592,id1400003171515806
LA Chargers	 vs. LV Raiders,Ashton Jeanty,playertotals-receptions,Under,3.5,Ashton Jeanty (LV) moins de 3.5,1.9524,"Jeanty, Ashton",2.22,2.325373134328358,0.4300385109114249,-16.039281129653403,Total de réceptions Plus/Moins(Incl. Prolongations),4497119630,id1400003171515796
KC Chiefs vs. IND Colts,Patrick Mahomes,playertotals-passcompletions,Over,20.5,Patrick Mahomes (KC) Plus de 20.5,1.8,"Mahomes, Patrick",2.05,2.1471740346950194,0.46572843367213973,-16.168881939014845,"Passes complétées, Joueur (prolongations incluses) ",4502058334,id1400003171515804
ARZ Cardinals vs. SEA Seahawks,Jeremiyah Love,playertotals-receptions,Under,2.5,Jeremiyah Love (ARI) moins de 2.5,1.8696,"Love, Jeremiyah",2.13,2.2319259687680746,0.44804353459445445,-16.233780772220797,Total de réceptions Plus/Moins(Incl. Prolongations),4497113130,id1400003171515798
SF 49ers		 vs. MIA Dolphins,Christian McCaffrey,playertotals-rushattempts,Under,14.5,Christian McCaffrey (SF) moins de 14.5,1.6897,"McCaffrey, Christian",1.925,2.0174418604651163,0.4956772334293948,-16.245417867435165,Joueur tentative de gain par la course (prolongations incluses),4497120399,id1400003171515802
LA Chargers	 vs. LV Raiders,David Njoku,playertotals-receptions,Over,2.5,David Njoku (LAC) Plus de 2.5,1.6667,"Njoku, David",1.9,1.99113197704747,0.5022268797484936,-16.293845952318577,Total de réceptions Plus/Moins(Incl. Prolongations),4501601953,id1400003171515796
LA Chargers	 vs. LV Raiders,Quentin Johnston,playertotals-receptions,Under,3.5,Quentin Johnston (LAC) moins de 3.5,1.7693,"Johnston, Quentin",2.03,2.1240310077519378,0.47080291970802923,-16.70083941605839,Total de réceptions Plus/Moins(Incl. Prolongations),4497118796,id1400003171515796
ARZ Cardinals vs. SEA Seahawks,Drew Lock,playertotals-tdpasses,Over,1.5,Drew Lock (SEA) Plus de 1.5,2.25,"Lock, Drew",2.59,2.71523178807947,0.3682926829268293,-17.134146341463406,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4497735944,id1400003171515798
LA Rams vs. NY Giants,Jaxson Dart,playertotals-interceptions,Over,0.5,Jaxson Dart (NYG) Plus de 0.5,1.8696,"Dart, Jaxson",2.14,2.2595644496762803,0.44256316749153424,-17.25839020578276,Passes du joueur interceptées Plus/Moins (Incl. Prolongations),4509458030,id1400003171515806
LA Rams vs. NY Giants,Jaxson Dart,playertotals-tdpasses,Over,1.5,Jaxson Dart (NYG) Plus de 1.5,2.55,"Dart, Jaxson",2.92,3.0842255531763025,0.32423050219856514,-17.321221939365895,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4497682136,id1400003171515806
DEN Broncos	 vs. JAX Jaguars,Parker Washington,playertotals-receptions,Over,4.5,Parker Washington (JAX) Plus de 4.5,1.6667,"Washington, Parker",1.925,2.0174418604651163,0.4956772334293948,-17.385475504322766,Total de réceptions Plus/Moins(Incl. Prolongations),4502105796,id1400003171515794
KC Chiefs vs. IND Colts,Daniel Jones,playertotals-tdpasses,Over,1.5,Daniel Jones (IND) Plus de 1.5,2.4,"Jones, Daniel",2.77,2.9050894085281977,0.34422348484848486,-17.386363636363633,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4502058463,id1400003171515804
