match_gp,match_pin,market,selection,gp_line,gp_price,pin_line,pin_price,pin_fair_prob,pin_fair_price,price_ev_pct,line_edge,gp_odd_id,abs_line_edge
Miami Redhawks vs. Connecticut Huskies,Miami Ohio RedHawks vs Connecticut Huskies,spread,Miami Redhawks (-9.5),-9.5,2.75,-3.5,1.917,,,,-6.0,4532237558,6.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Plus de 58.5,58.5,2.5,52.5,1.917,0.5,,,-6.0,4532207711,6.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Moins de 58.5,58.5,1.5,52.5,1.917,0.5,,,6.0,4532207712,6.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Plus de 46.5,46.5,1.4348,52.5,1.917,0.5,,,6.0,4532207606,6.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Moins de 46.5,46.5,2.65,52.5,1.917,0.5,,,-6.0,4532207607,6.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Louisiana-Monroe Warhawks (+19.5),19.5,1.5264,13.5,1.917,,,,6.0,4531942402,6.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Louisiana-Monroe Warhawks (+7.5),7.5,2.4,13.5,1.917,,,,-6.0,4531942372,6.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Florida Atlantic Owls (-19.5),-19.5,2.4,-13.5,1.934,,,,-6.0,4531942403,6.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Florida Atlantic Owls (-7.5),-7.5,1.5264,-13.5,1.934,,,,6.0,4531942373,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,total,Plus de 50.5,50.5,2.55,44.5,1.952,0.4911366006256517,,,-6.0,4532257675,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,total,Moins de 50.5,50.5,1.4762,44.5,1.884,0.5088633993743483,,,6.0,4532257676,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,total,Plus de 38.5,38.5,1.4546,44.5,1.952,0.4911366006256517,,,6.0,4532257653,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,total,Moins de 38.5,38.5,2.6,44.5,1.884,0.5088633993743483,,,-6.0,4532257654,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,FRESNO (-7.5),-7.5,1.5264,-13.5,1.884,,,,6.0,4532257539,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,FRESNO (-19.5),-19.5,2.5,-13.5,1.884,,,,-6.0,4532257527,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,Rice Owls (+7.5),7.5,2.4,13.5,1.97,,,,-6.0,4532257540,6.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,Rice Owls (+19.5),19.5,1.5,13.5,1.97,,,,6.0,4532257528,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Plus de 38.5,38.5,1.4348,44.5,1.862,0.5140918580375784,,,6.0,4395045445,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Moins de 38.5,38.5,2.65,44.5,1.97,0.4859081419624217,,,-6.0,4395045446,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Plus de 50.5,50.5,2.5,44.5,1.862,0.5140918580375784,,,-6.0,4395045469,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Moins de 50.5,50.5,1.5,44.5,1.97,0.4859081419624217,,,6.0,4395045470,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,spread,Oklahoma Sooners (+7.5),7.5,2.5,13.5,2.0,,,,-6.0,4395044646,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,spread,Oklahoma Sooners (+19.5),19.5,1.5455,13.5,2.0,,,,6.0,4395045488,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,spread,GEORGIE BULLDOGS (-7.5),-7.5,1.5,-13.5,1.854,,,,6.0,4395044645,6.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,spread,GEORGIE BULLDOGS (-19.5),-19.5,2.35,-13.5,1.854,,,,-6.0,4395045487,6.0
Georgia Southern Eagles vs. Houston Cougars,Georgia Southern Eagles vs Houston Cougars,total,Plus de 50.5,50.5,1.5,56.5,1.9,0.5044340114762649,,,6.0,4531852961,6.0
Georgia Southern Eagles vs. Houston Cougars,Georgia Southern Eagles vs Houston Cougars,total,Moins de 50.5,50.5,2.5,56.5,1.934,0.49556598852373496,,,-6.0,4531852962,6.0
Georgia Southern Eagles vs. Houston Cougars,Georgia Southern Eagles vs Houston Cougars,total,Plus de 62.5,62.5,2.55,56.5,1.9,0.5044340114762649,,,-6.0,4531852908,6.0
Georgia Southern Eagles vs. Houston Cougars,Georgia Southern Eagles vs Houston Cougars,total,Moins de 62.5,62.5,1.4762,56.5,1.934,0.49556598852373496,,,6.0,4531852909,6.0
Georgia State Panthers vs. Northern Illinois Huskies,Georgia State Panthers vs Northern Illinois Huskies,total,Plus de 49.5,49.5,1.4546,55.5,1.9,0.5044340114762649,,,6.0,4532040145,6.0
Georgia State Panthers vs. Northern Illinois Huskies,Georgia State Panthers vs Northern Illinois Huskies,total,Moins de 49.5,49.5,2.6,55.5,1.934,0.49556598852373496,,,-6.0,4532040146,6.0
Georgia State Panthers vs. Northern Illinois Huskies,Georgia State Panthers vs Northern Illinois Huskies,total,Plus de 61.5,61.5,2.4,55.5,1.9,0.5044340114762649,,,-6.0,4532040169,6.0
Georgia State Panthers vs. Northern Illinois Huskies,Georgia State Panthers vs Northern Illinois Huskies,total,Moins de 61.5,61.5,1.5264,55.5,1.934,0.49556598852373496,,,6.0,4532040170,6.0
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,spread,Stanford Cardinal (+9.5),9.5,1.3847,3.5,1.884,,,,6.0,4532015090,6.0
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,spread,Stanford Cardinal (-2.5),-2.5,2.6,3.5,1.884,,,,-6.0,4532015094,6.0
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,spread,Georgia Tech (-9.5),-9.5,2.85,-3.5,1.97,,,,-6.0,4532015091,6.0
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,spread,Georgia Tech (+2.5),2.5,1.4546,-3.5,1.97,,,,6.0,4532015095,6.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,total,Plus de 44.5,44.5,2.55,38.5,1.909,0.5020865936358894,,,-6.0,4515075849,6.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,total,Moins de 44.5,44.5,1.4762,38.5,1.925,0.4979134063641105,,,6.0,4515075850,6.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,total,Plus de 32.5,32.5,1.4,38.5,1.909,0.5020865936358894,,,6.0,4515075120,6.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,total,Moins de 32.5,32.5,2.75,38.5,1.925,0.4979134063641105,,,-6.0,4515075121,6.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,spread,Iowa Hawkeyes (+11.5),11.5,1.3847,5.5,1.925,,,,6.0,4515074090,6.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,spread,Michigan Wolverines (-11.5),-11.5,2.85,-5.5,1.925,,,,-6.0,4515074089,6.0
Iowa State Cyclones vs. Utah Utes,Iowa State Cyclones vs Utah Utes,spread,Utah Utes (-3.5),-3.5,1.4546,-9.5,2.01,,,,6.0,4531833105,6.0
Iowa State Cyclones vs. Utah Utes,Iowa State Cyclones vs Utah Utes,spread,Utah Utes (-15.5),-15.5,2.6,-9.5,2.01,,,,-6.0,4531833007,6.0
Iowa State Cyclones vs. Utah Utes,Iowa State Cyclones vs Utah Utes,spread,Iowa State Cyclones (+3.5),3.5,2.6,9.5,1.847,,,,-6.0,4531833104,6.0
Iowa State Cyclones vs. Utah Utes,Iowa State Cyclones vs Utah Utes,spread,Iowa State Cyclones (+15.5),15.5,1.4546,9.5,1.847,,,,6.0,4531833006,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,total,Moins de 48.5,48.5,2.5,54.5,1.917,0.5,,,-6.0,4531878729,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,total,Plus de 48.5,48.5,1.5,54.5,1.917,0.5,,,6.0,4531878728,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,total,Plus de 60.5,60.5,2.55,54.5,1.917,0.5,,,-6.0,4531878738,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,total,Moins de 60.5,60.5,1.4762,54.5,1.917,0.5,,,6.0,4531878739,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,spread,South Alabama Jaguars (+26.5),26.5,1.5,20.5,1.917,,,,6.0,4531879089,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,spread,South Alabama Jaguars (+14.5),14.5,2.35,20.5,1.917,,,,-6.0,4531878978,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,spread,Kentucky Wildcats (-26.5),-26.5,2.5,-20.5,1.934,,,,-6.0,4531879088,6.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,spread,Kentucky Wildcats (-14.5),-14.5,1.5455,-20.5,1.934,,,,6.0,4531878977,6.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,spread,Louisville Cardinals (-18.5),-18.5,2.5,-12.5,1.917,,,,-6.0,4531844138,6.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,spread,Louisville Cardinals (-6.5),-6.5,1.4546,-12.5,1.917,,,,6.0,4531844168,6.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,spread,Wake Forest Demon Deacons (+18.5),18.5,1.5,12.5,1.934,,,,6.0,4531844139,6.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,spread,Wake Forest Demon Deacons (+6.5),6.5,2.6,12.5,1.934,,,,-6.0,4531844169,6.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,total,Plus de 54.5,54.5,2.4,48.5,1.909,0.5020865936358894,,,-6.0,4515074948,6.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,total,Moins de 54.5,54.5,1.5264,48.5,1.925,0.4979134063641105,,,6.0,4515074949,6.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,total,Plus de 42.5,42.5,1.4348,48.5,1.909,0.5020865936358894,,,6.0,4515074627,6.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,total,Moins de 42.5,42.5,2.65,48.5,1.925,0.4979134063641105,,,-6.0,4515074628,6.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,spread,Michigan State Spartans (+11.5),11.5,1.4348,5.5,1.943,,,,6.0,4515075569,6.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,spread,Nebraska Cornhuskers (-11.5),-11.5,2.65,-5.5,1.909,,,,-6.0,4515075570,6.0
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,spread,Mississippi St Bulldogs (-12.5),-12.5,2.65,-6.5,1.952,,,,-6.0,4517724197,6.0
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,spread,Missouri Tigers (+12.5),12.5,1.4348,6.5,1.9,,,,6.0,4517724198,6.0
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,total,Plus de 45.5,45.5,1.5,51.5,1.943,0.49229161222889994,,,6.0,4531982984,6.0
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,total,Moins de 45.5,45.5,2.5,51.5,1.884,0.5077083877711001,,,-6.0,4531982985,6.0
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,total,Plus de 57.5,57.5,2.5,51.5,1.943,0.49229161222889994,,,-6.0,4531983006,6.0
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,total,Moins de 57.5,57.5,1.5,51.5,1.884,0.5077083877711001,,,6.0,4531983007,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,total,Plus de 54.5,54.5,2.5,48.5,1.934,0.49556598852373496,,,-6.0,4531880630,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,total,Moins de 54.5,54.5,1.5,48.5,1.9,0.5044340114762649,,,6.0,4531880631,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,total,Plus de 42.5,42.5,1.4546,48.5,1.934,0.49556598852373496,,,6.0,4531880677,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,total,Moins de 42.5,42.5,2.6,48.5,1.9,0.5044340114762649,,,-6.0,4531880678,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,spread,New Mexico St Aggies (+4.5),4.5,2.85,10.5,1.97,,,,-6.0,4531880789,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,spread,New Mexico St Aggies (+16.5),16.5,1.5556,10.5,1.97,,,,6.0,4531880815,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,spread,NOUVEAU MEXIQUE (-4.5),-4.5,1.3847,-10.5,1.884,,,,6.0,4531880790,6.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,spread,NOUVEAU MEXIQUE (-16.5),-16.5,2.3,-10.5,1.884,,,,-6.0,4531880816,6.0
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,total,Plus de 63.5,63.5,2.5,57.5,1.869,0.5131544673091952,,,-6.0,4531872000,6.0
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,total,Moins de 63.5,63.5,1.5,57.5,1.97,0.4868455326908049,,,6.0,4531872001,6.0
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,total,Plus de 51.5,51.5,1.4762,57.5,1.869,0.5131544673091952,,,6.0,4531871956,6.0
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,total,Moins de 51.5,51.5,2.55,57.5,1.97,0.4868455326908049,,,-6.0,4531871957,6.0
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,spread,UTEP Miners (+16.5),16.5,1.5264,10.5,1.925,,,,6.0,4531954732,6.0
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,spread,UTEP Miners (+4.5),4.5,2.65,10.5,1.925,,,,-6.0,4531954750,6.0
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,spread,Oregon State Beavers (-16.5),-16.5,2.4,-10.5,1.925,,,,-6.0,4531954733,6.0
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,spread,Oregon State Beavers (-4.5),-4.5,1.4348,-10.5,1.925,,,,6.0,4531954751,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,total,Plus de 42.5,42.5,1.4762,48.5,1.884,0.5088633993743483,,,6.0,4532248726,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,total,Moins de 42.5,42.5,2.55,48.5,1.952,0.4911366006256517,,,-6.0,4532248727,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,total,Plus de 54.5,54.5,2.5,48.5,1.884,0.5088633993743483,,,-6.0,4532248738,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,total,Moins de 54.5,54.5,1.5,48.5,1.952,0.4911366006256517,,,6.0,4532248739,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,spread,UMass Minutemen (-10.5),-10.5,2.7,-4.5,1.943,,,,-6.0,4532248632,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,spread,UMass Minutemen (+1.5),1.5,1.4167,-4.5,1.943,,,,6.0,4532248679,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,spread,Sacramento State Hornets (+10.5),10.5,1.4167,4.5,1.909,,,,6.0,4532248631,6.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,spread,Sacramento State Hornets (-1.5),-1.5,2.7,4.5,1.909,,,,-6.0,4532248678,6.0
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,total,Plus de 46.5,46.5,1.5,52.5,1.97,0.4868455326908049,,,6.0,4532219504,6.0
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,total,Moins de 46.5,46.5,2.5,52.5,1.869,0.5131544673091952,,,-6.0,4532219505,6.0
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,total,Plus de 58.5,58.5,2.55,52.5,1.97,0.4868455326908049,,,-6.0,4532219516,6.0
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,total,Moins de 58.5,58.5,1.4762,52.5,1.869,0.5131544673091952,,,6.0,4532219517,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,total,Plus de 46.5,46.5,1.4546,52.5,1.9,0.5032679738562091,,,6.0,4532025012,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,total,Moins de 46.5,46.5,2.6,52.5,1.925,0.4967320261437908,,,-6.0,4532025013,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,total,Plus de 58.5,58.5,2.55,52.5,1.9,0.5032679738562091,,,-6.0,4532025026,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,total,Moins de 58.5,58.5,1.4762,52.5,1.925,0.4967320261437908,,,6.0,4532025027,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,spread,Tulane Green Wave (-12.5),-12.5,1.5,-18.5,1.934,,,,6.0,4532025444,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,spread,Tulane Green Wave (-24.5),-24.5,2.5,-18.5,1.934,,,,-6.0,4532025458,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,spread,Southern Miss Golden Eagles (+24.5),24.5,1.5,18.5,1.917,,,,6.0,4532025459,6.0
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,spread,Southern Miss Golden Eagles (+12.5),12.5,2.5,18.5,1.917,,,,-6.0,4532025445,6.0
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,total,Plus de 42.5,42.5,1.4546,48.5,1.9,0.5044340114762649,,,6.0,4532061997,6.0
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,total,Moins de 42.5,42.5,2.6,48.5,1.934,0.49556598852373496,,,-6.0,4532061998,6.0
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,total,Plus de 54.5,54.5,2.5,48.5,1.9,0.5044340114762649,,,-6.0,4532062021,6.0
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,total,Moins de 54.5,54.5,1.5,48.5,1.934,0.49556598852373496,,,6.0,4532062022,6.0
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,total,Plus de 55.5,55.5,2.5,50.0,1.952,0.4911366006256517,,,-5.5,4531862802,5.5
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,total,Moins de 55.5,55.5,1.5,50.0,1.884,0.5088633993743483,,,5.5,4531862803,5.5
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,total,Plus de 44.5,44.5,1.5264,50.0,1.952,0.4911366006256517,,,5.5,4531862708,5.5
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,total,Moins de 44.5,44.5,2.4,50.0,1.884,0.5088633993743483,,,-5.5,4531862709,5.5
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,total,Plus de 48.5,48.5,1.5455,54.0,1.943,0.4933507170795306,,,5.5,4515068716,5.5
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,total,Moins de 48.5,48.5,2.35,54.0,1.892,0.5066492829204693,,,-5.5,4515068717,5.5
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,total,Plus de 59.5,59.5,2.55,54.0,1.943,0.4933507170795306,,,-5.5,4515068736,5.5
Alabama Crimson Tide vs. South Carolina Gamecocks,Alabama Crimson Tide vs South Carolina Gamecocks,total,Moins de 59.5,59.5,1.4762,54.0,1.892,0.5066492829204693,,,5.5,4515068737,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,total,Plus de 49.5,49.5,1.4762,55.0,1.9,0.5044340114762649,,,5.5,4532010518,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,total,Moins de 49.5,49.5,2.55,55.0,1.934,0.49556598852373496,,,-5.5,4532010519,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,total,Plus de 60.5,60.5,2.35,55.0,1.9,0.5044340114762649,,,-5.5,4532010528,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,total,Moins de 60.5,60.5,1.5455,55.0,1.934,0.49556598852373496,,,5.5,4532010529,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,spread,Appalachian State Mountaineers (+8.5),8.5,2.4,14.0,1.97,,,,-5.5,4532010768,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,spread,Appalachian State Mountaineers (+19.5),19.5,1.5455,14.0,1.97,,,,5.5,4532010647,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,spread,North Carolina State Wolfpack (-8.5),-8.5,1.5264,-14.0,1.884,,,,5.5,4532010767,5.5
North Carolina State Wolfpack vs. Appalachian State Mountaineers,NC State Wolfpack vs Appalachian State Mountaineers,spread,North Carolina State Wolfpack (-19.5),-19.5,2.35,-14.0,1.884,,,,-5.5,4532010646,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,total,Plus de 43.5,43.5,1.5264,49.0,1.952,0.4911366006256517,,,5.5,4533853632,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,total,Moins de 43.5,43.5,2.4,49.0,1.884,0.5088633993743483,,,-5.5,4533853633,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,total,Plus de 54.5,54.5,2.5,49.0,1.952,0.4911366006256517,,,-5.5,4533853636,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,total,Moins de 54.5,54.5,1.5,49.0,1.884,0.5088633993743483,,,5.5,4533853637,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,spread,Arizona Wildcats (-15.5),-15.5,2.35,-10.0,1.917,,,,-5.5,4533853752,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,spread,Arizona Wildcats (-4.5),-4.5,1.4348,-10.0,1.917,,,,5.5,4533853766,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,spread,Wash State Cougars (+15.5),15.5,1.5455,10.0,1.934,,,,5.5,4533853751,5.5
Wash State Cougars vs. Arizona Wildcats,Washington State Cougars vs Arizona Wildcats,spread,Wash State Cougars (+4.5),4.5,2.65,10.0,1.934,,,,-5.5,4533853765,5.5
Arkansas Razorbacks vs. Tulsa Golden Hurricane,Arkansas Razorbacks vs Tulsa Golden Hurricane,total,Plus de 45.5,45.5,1.5264,51.0,1.99,0.4813656502475892,,,5.5,4533559886,5.5
Arkansas Razorbacks vs. Tulsa Golden Hurricane,Arkansas Razorbacks vs Tulsa Golden Hurricane,total,Moins de 45.5,45.5,2.4,51.0,1.847,0.5186343497524107,,,-5.5,4533559887,5.5
Arkansas Razorbacks vs. Tulsa Golden Hurricane,Arkansas Razorbacks vs Tulsa Golden Hurricane,total,Plus de 56.5,56.5,2.5,51.0,1.99,0.4813656502475892,,,-5.5,4533559902,5.5
Arkansas Razorbacks vs. Tulsa Golden Hurricane,Arkansas Razorbacks vs Tulsa Golden Hurricane,total,Moins de 56.5,56.5,1.5,51.0,1.847,0.5186343497524107,,,5.5,4533559903,5.5
Arkansas Razorbacks vs. Tulsa Golden Hurricane,Arkansas Razorbacks vs Tulsa Golden Hurricane,spread,Arkansas Razorbacks (-1.5),-1.5,1.3847,-7.0,1.925,,,,5.5,4533560347,5.5
Arkansas Razorbacks vs. Tulsa Golden Hurricane,Arkansas Razorbacks vs Tulsa Golden Hurricane,spread,Arkansas Razorbacks (-12.5),-12.5,2.5,-7.0,1.925,,,,-5.5,4533560349,5.5
