match_gp,match_pin,market,selection,gp_line,gp_price,pin_line,pin_price,pin_fair_prob,pin_fair_price,price_ev_pct,line_edge,gp_odd_id,abs_line_edge
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,spread,Tulane Green Wave (-18.5),-18.5,1.8696,-18.5,1.934,0.4977927810958193,2.0088680229525298,-6.932661646325622,0.0,4532025584,0.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,moneyline,California Golden Bears,,1.8696,,1.934,0.4977927810958193,2.0088680229525298,-6.932661646325622,,4531985401,
Coastal Carolina  vs. Liberty Flames,Coastal Carolina Chanticleers vs Liberty Flames,moneyline,Liberty Flames,,1.6897,,1.746,0.550694801852805,1.8158878504672897,-6.949099330931552,,4533843470,
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,moneyline,Virginia Cavaliers,,1.05,,1.075,0.885699096225412,1.1290516206482593,-7.001594896331742,,4532207092,
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,moneyline,Georgia Tech,,1.5264,,1.578,0.6092124814264487,1.6414634146341465,-7.009806835066879,,4532014716,
Indiana Hoosiers vs. Northwestern Wildcats,Indiana Hoosiers vs Northwestern Wildcats,moneyline,Indiana Hoosiers,,1.0334,,1.06,0.899526066350711,1.1116965226554267,-7.042976303317516,,4531850297,
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,total,Moins de 51.5,51.5,1.9091,51.5,1.97,0.4868455326908049,2.0540395933654363,-7.0563193539984415,0.0,4532222655,0.0
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,spread,Bowling Green Falcons (+17.5),17.5,1.8334,17.5,1.9,0.5067497403946002,1.973360655737705,-7.092502596054007,0.0,4532244593,0.0
Boston College Eagles vs. Virginia Tech Hokies,Boston College Eagles vs Virginia Tech Hokies,moneyline,Virginia Tech Hokies,,1.1334,,1.161,0.8189050070191858,1.221142857142857,-7.185306504445488,,4531911049,
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,moneyline,GEORGIE BULLDOGS,,1.1334,,1.162,0.8182102628285356,1.2221797323135757,-7.2640488110137795,,4272160933,
Nevada Wolf Pack vs. Air Force Falcons,Nevada Wolf Pack vs Air Force Falcons,spread,Air Force Falcons (-4.5),-4.5,1.7693,-4.5,1.84,0.5233160621761658,1.910891089108911,-7.409689119170981,0.0,4531864344,0.0
Florida Gators vs. Ole Miss Rebels,Florida Gators vs Ole Miss Rebels,moneyline,Florida Gators,,1.5715,,1.632,0.5891238670694864,1.6974358974358974,-7.419184290030223,,4515069502,
Old Dominion Monarchs vs. James Madison Dukes,Old Dominion Monarchs vs James Madison Dukes,moneyline,James Madison Dukes,,1.4,,1.45,0.661214953271028,1.5123674911660778,-7.429906542056086,,4531901855,
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,total,Plus de 44.5,44.5,1.8,44.5,1.862,0.5140918580375784,1.9451776649746189,-7.463465553235881,0.0,4395045457,0.0
Cincinnati Bearcats vs. Kansas State Wildcats,Cincinnati Bearcats vs Kansas State Wildcats,moneyline,Cincinnati Bearcats,,2.8,,2.9,0.3304086815977834,3.026554856743536,-7.485569152620652,,4531907071,
Arkansas St Red Wolves vs. Kennesaw State Owls,Arkansas State Red Wolves vs Kennesaw State Owls,total,Plus de 52.5,52.5,1.8334,52.5,1.9,0.5044340114762649,1.9824198552223375,-7.517068335941602,0.0,4531931742,0.0
Georgia State Panthers vs. Northern Illinois Huskies,Georgia State Panthers vs Northern Illinois Huskies,total,Plus de 55.5,55.5,1.8334,55.5,1.9,0.5044340114762649,1.9824198552223375,-7.517068335941602,0.0,4532040157,0.0
New Mexico St Aggies vs. NOUVEAU MEXIQUE,New Mexico State Aggies vs New Mexico Lobos,total,Moins de 48.5,48.5,1.8334,48.5,1.9,0.5044340114762649,1.9824198552223375,-7.517068335941602,0.0,4531880684,0.0
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,total,Plus de 48.5,48.5,1.8334,48.5,1.9,0.5044340114762649,1.9824198552223375,-7.517068335941602,0.0,4532062009,0.0
Michigan State Spartans vs. Nebraska Cornhuskers,Michigan State Spartans vs Nebraska Cornhuskers,spread,Nebraska Cornhuskers (-5.5),-5.5,1.8334,-5.5,1.909,0.5044132917964693,1.982501286670098,-7.520867082035321,0.0,4515075578,0.0
Sacramento State Hornets vs. UMass Minutemen,Sacramento State Hornets vs UMASS Minutemen,spread,Sacramento State Hornets (+4.5),4.5,1.8334,4.5,1.909,0.5044132917964693,1.982501286670098,-7.520867082035321,0.0,4532248639,0.0
Purdue Boilermakers vs. Notre Dame Fighting Irish,Purdue Boilermakers vs Notre Dame Fighting Irish,total,Plus de 57.5,57.5,1.8,57.5,1.869,0.5131544673091952,1.9487309644670046,-7.632195884344862,0.0,4531871880,0.0
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,total,Moins de 52.5,52.5,1.8,52.5,1.869,0.5131544673091952,1.9487309644670046,-7.632195884344862,0.0,4532219659,0.0
Temple Owls vs. Army Black Knights,Temple Owls vs Army Black Knights,moneyline,Temple Owls,,2.2,,2.29,0.4198125158348113,2.382015691007845,-7.641246516341516,,4531975698,
Kent St Golden Flashes vs. Ball State Cardinals,Kent State Golden Flashes vs Ball State Cardinals,moneyline,Kent St Golden Flashes,,1.5264,,1.588,0.6047784967645595,1.6534979423868312,-7.68661025385764,,4532228898,
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,total,Plus de 52.5,52.5,1.8334,52.5,1.9,0.5032679738562091,1.9870129870129871,-7.730849673202622,0.0,4532025108,0.0
UAB Blazers vs. Navy Midshipmen,UAB Blazers vs Navy Midshipmen,moneyline,Navy Midshipmen,,1.3125,,1.361,0.7029032962235321,1.422670807453416,-7.743942370661417,,4531982646,
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,spread,Akron Zips (+13.5),13.5,1.8696,13.5,1.952,0.4932502596053998,2.0273684210526315,-7.781931464174452,0.0,4532222459,0.0
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,spread,Mississippi St Bulldogs (-6.5),-6.5,1.8696,-6.5,1.952,0.4932502596053998,2.0273684210526315,-7.781931464174452,0.0,4517724125,0.0
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,moneyline,UCLA Bruins,,1.7693,,1.847,0.5211304122374903,1.9189054726368158,-7.7963961628208285,,4523456748,
Miami Redhawks vs. Connecticut Huskies,Miami Ohio RedHawks vs Connecticut Huskies,spread,Miami Redhawks (-3.5),-3.5,1.8334,-3.5,1.917,0.5022072189041807,1.9912099276111686,-7.925328486107508,0.0,4532237548,0.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Louisiana-Monroe Warhawks (+13.5),13.5,1.8334,13.5,1.917,0.5022072189041807,1.9912099276111686,-7.925328486107508,0.0,4531942392,0.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,spread,South Alabama Jaguars (+20.5),20.5,1.8334,20.5,1.917,0.5022072189041807,1.9912099276111686,-7.925328486107508,0.0,4531879053,0.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,spread,Louisville Cardinals (-12.5),-12.5,1.8334,-12.5,1.917,0.5022072189041807,1.9912099276111686,-7.925328486107508,0.0,4531844128,0.0
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,total,Plus de 48.5,48.5,1.8334,48.5,1.909,0.5020865936358894,1.991688311688312,-7.947443922796049,0.0,4532244721,0.0
Wyoming Cowboys vs. Hawaii Rainbow Warriors,Wyoming Cowboys vs Hawaii Rainbow Warriors,moneyline,Hawaii Rainbow Warriors,,1.5715,,1.641,0.5857106791214339,1.7073275862068966,-7.95556677606667,,4533798450,
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,moneyline,San Diego State Aztecs,,2.15,,2.25,0.42806304016268426,2.336104513064133,-7.966446365022883,,4532219159,
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,FRESNO (-13.5),-13.5,1.8,-13.5,1.884,0.5111572392319668,1.9563451776649747,-7.991696938245985,0.0,4532257523,0.0
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,spread,Stanford Cardinal (+3.5),3.5,1.8,3.5,1.884,0.5111572392319668,1.9563451776649747,-7.991696938245985,0.0,4532015080,0.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,moneyline,FRESNO,,1.1334,,1.172,0.8116361298617808,1.232079207920792,-8.009161041465763,,4532257437,
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,moneyline,TCU Horned Frogs,,1.5715,,1.645,0.5851197982345523,1.709051724137931,-8.048423707440111,,4532061663,
Toledo Rockets vs. San Diego State Aztecs,Toledo Rockets vs San Diego State Aztecs,moneyline,Toledo Rockets,,1.6061,,1.684,0.5719369598373157,1.7484444444444442,-8.141204880528718,,4532219158,
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,spread,Oklahoma Sooners (+13.5),13.5,1.9091,13.5,2.0,0.4810586403736377,2.0787486515641858,-8.161094966268823,0.0,4395045482,0.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,total,Plus de 44.5,44.5,1.8696,44.5,1.952,0.4911366006256517,2.0360934182590236,-8.177101147028164,0.0,4532257663,0.0
GEORGIE BULLDOGS vs. Oklahoma Sooners,Georgia Bulldogs vs Oklahoma Sooners,spread,GEORGIE BULLDOGS (-13.5),-13.5,1.7693,-13.5,1.854,0.5189413596263621,1.9270000000000003,-8.183705241307749,0.0,4395045481,0.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,total,Plus de 50.5,50.5,1.8334,50.5,1.917,0.5,2.0,-8.330000000000004,0.0,4531985757,0.0
California Golden Bears vs. Clemson Tigers,California Golden Bears vs Clemson Tigers,total,Moins de 50.5,50.5,1.8334,50.5,1.917,0.5,2.0,-8.330000000000004,0.0,4531985758,0.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Plus de 52.5,52.5,1.8334,52.5,1.917,0.5,2.0,-8.330000000000004,0.0,4532207662,0.0
Virginia Cavaliers vs. Delaware Fightin Blue Hens,Virginia Cavaliers vs Delaware Blue Hens,total,Moins de 52.5,52.5,1.8334,52.5,1.917,0.5,2.0,-8.330000000000004,0.0,4532207663,0.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,spread,Iowa Hawkeyes (+5.5),5.5,1.8334,5.5,1.925,0.5,2.0,-8.330000000000004,0.0,4515074154,0.0
Michigan Wolverines vs. Iowa Hawkeyes,Michigan Wolverines vs Iowa Hawkeyes,spread,Michigan Wolverines (-5.5),-5.5,1.8334,-5.5,1.925,0.5,2.0,-8.330000000000004,0.0,4515074153,0.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,total,Plus de 54.5,54.5,1.8334,54.5,1.917,0.5,2.0,-8.330000000000004,0.0,4531878904,0.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,total,Moins de 54.5,54.5,1.8334,54.5,1.917,0.5,2.0,-8.330000000000004,0.0,4531878905,0.0
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,spread,UTEP Miners (+10.5),10.5,1.8334,10.5,1.925,0.5,2.0,-8.330000000000004,0.0,4531954724,0.0
UTEP Miners vs. Oregon State Beavers,UTEP Miners vs Oregon State Beavers,spread,Oregon State Beavers (-10.5),-10.5,1.8334,-10.5,1.925,0.5,2.0,-8.330000000000004,0.0,4531954725,0.0
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,total,Moins de 44.5,44.5,1.8,44.5,1.884,0.5088633993743483,1.9651639344262293,-8.404588112617295,0.0,4532257664,0.0
Maryland Terrapins vs. UCLA Bruins,Maryland Terrapins vs UCLA Bruins,moneyline,Maryland Terrapins,,1.9091,,2.01,0.4788695877625098,2.0882512181916617,-8.579007000259253,,4523456747,
FRESNO vs. Rice Owls,Fresno State Bulldogs vs Rice Owls,spread,Rice Owls (+13.5),13.5,1.8696,13.5,1.97,0.4888427607680331,2.0456475583864124,-8.605957446808532,0.0,4532257524,0.0
Stanford Cardinal vs. Georgia Tech,Stanford Cardinal vs Georgia Tech Yellow Jackets,spread,Georgia Tech (-3.5),-3.5,1.8696,-3.5,1.97,0.4888427607680331,2.0456475583864124,-8.605957446808532,0.0,4532015081,0.0
Cincinnati Bearcats vs. Kansas State Wildcats,Cincinnati Bearcats vs Kansas State Wildcats,moneyline,Kansas State Wildcats,,1.3637,,1.431,0.6695913184022165,1.493448275862069,-8.687831909489741,,4531907072,
Bowling Green Falcons vs. FLORIDE DU SUD,Bowling Green Falcons vs South Florida Bulls,total,Moins de 48.5,48.5,1.8334,48.5,1.925,0.4979134063641105,2.0083813514929285,-8.712556077203981,0.0,4532244722,0.0
UCF Knights vs. TCU Horned Frogs,UCF Knights vs TCU Horned Frogs,moneyline,UCF Knights,,2.2,,2.32,0.4148802017654477,2.410334346504559,-8.7263556116015,,4532061662,
Miami Redhawks vs. Connecticut Huskies,Miami Ohio RedHawks vs Connecticut Huskies,spread,Connecticut Huskies (+3.5),3.5,1.8334,3.5,1.934,0.4977927810958193,2.0088680229525298,-8.73467151389249,0.0,4532237549,0.0
Louisiana-Monroe Warhawks vs. Florida Atlantic Owls,Louisiana-Monroe Warhawks vs Florida Atlantic Owls,spread,Florida Atlantic Owls (-13.5),-13.5,1.8334,-13.5,1.934,0.4977927810958193,2.0088680229525298,-8.73467151389249,0.0,4531942393,0.0
Kentucky Wildcats vs. South Alabama Jaguars,Kentucky Wildcats vs South Alabama Jaguars,spread,Kentucky Wildcats (-20.5),-20.5,1.8334,-20.5,1.934,0.4977927810958193,2.0088680229525298,-8.73467151389249,0.0,4531879052,0.0
Louisville Cardinals vs. Wake Forest Demon Deacons,Louisville Cardinals vs Wake Forest Demon Deacons,spread,Wake Forest Demon Deacons (+12.5),12.5,1.8334,12.5,1.934,0.4977927810958193,2.0088680229525298,-8.73467151389249,0.0,4531844129,0.0
Akron Zips vs. UNLV Rebels,Akron Zips vs UNLV Rebels,spread,UNLV Rebels (-13.5),-13.5,1.8,-13.5,1.9,0.5067497403946002,1.973360655737705,-8.785046728971968,0.0,4532222460,0.0
Mississippi St Bulldogs vs. Missouri Tigers,Mississippi State Bulldogs vs Missouri Tigers,spread,Missouri Tigers (+6.5),6.5,1.8,6.5,1.9,0.5067497403946002,1.973360655737705,-8.785046728971968,0.0,4517724126,0.0
Temple Owls vs. Army Black Knights,Temple Owls vs Army Black Knights,moneyline,Army Black Knights,,1.5715,,1.657,0.5801874841651887,1.723580786026201,-8.823536863440594,,4531975699,
Wyoming Cowboys vs. Hawaii Rainbow Warriors,Wyoming Cowboys vs Hawaii Rainbow Warriors,moneyline,Wyoming Cowboys,,2.2,,2.32,0.41428932087856607,2.413772090188909,-8.856349406715458,,4533798449,
Tulane Green Wave vs. Southern Miss Golden Eagles,Tulane Green Wave vs Southern Miss Golden Eagles,total,Moins de 52.5,52.5,1.8334,52.5,1.925,0.4967320261437908,2.0131578947368425,-8.929150326797398,0.0,4532025109,0.0
